TP,slope (linfit),intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32),slope,mean
1,0.169543883333333,0.405519116,27.3961096038999,0.583681815,0.618861166,0.624372347,7,10
2,0.1358213125,0.439180272,22.2733569829647,0.582053846,0.609792734,0.614650961,8,8
3,0.0203641458333337,0.544361007666666,3.90241755475927,0.565387062,0.570732429,0.570274457,9,5
4,0.205513691666667,0.370689127,32.4795906542386,0.584923106,0.632747173,0.634246392,7,9
5,-0.00306611250000004,0.469987829666667,0.670135043893626,0.466803639,0.466054073,0.466067772,15,4
6,0.125057533333334,0.448970591666666,20.6379311895612,0.580572724,0.605959639,0.610586532,11,10
7,0.0731874833333334,0.49779134,12.4153171416719,0.574895249,0.589493466,0.592460245,9,9
8,0.189963641666667,0.386186904666666,30.2440961700559,0.584368492,0.628101566,0.629959766,8,8
9,0.1858540125,0.390138032666666,29.6969697942943,0.584524321,0.625834938,0.629129284,8,8
10,0.2193635625,0.355241451,34.652464074571,0.584873533,0.633038857,0.637520788,7,9
11,0.216036550000001,0.357522129666666,34.3025144025505,0.584325598,0.629798001,0.63617437,8,9
12,0.1891832875,0.385083706,30.3191470044855,0.583466988,0.623972988,0.628870977,9,11
13,0.131816925,0.443000061666666,21.6454491022888,0.581461443,0.608982167,0.613097505,8,9
14,0.125208804166667,0.443003086333333,20.9505440052319,0.576035485,0.597639871,0.606085598,14,15
15,0.216697458333334,0.355177565333333,34.6119488048123,0.583779567,0.626077022,0.635786957,8,12
16,0.0491152333333339,0.401433437333333,10.662424635986,0.454344496,0.460638504,0.466132152,10,1
