Temp	Vout	Delta	Index	Mean	Slope
-40	0.600846085	0.600846085	443	11	11
-30	0.599991678	0.599991678	343	7	5
-20	0.600880065	0.600880065	343	7	5
-10	0.60047324	0.60047324	376	8	7
0	0.600214704	0.600214704	509	13	15
10	0.59980698	0.59980698	326	6	4
20	0.600318247	0.600318247	376	8	7
30	0.601046511	0.601046511	493	13	14
40	0.600028236	0.600028236	493	13	14
50	0.59907821	0.59907821	493	13	14
60	0.599700784	0.599700784	460	12	12
