Temp	Vout	Delta	Index	Mean	Slope
-40	0.60020376	0.60020376	473	9	13
-30	0.600138904	0.600138904	440	8	11
-20	0.599611325	0.599611325	506	10	15
-10	0.600419437	0.600419437	307	3	3
0	0.599411888	0.599411888	457	9	12
10	0.600074345	0.600074345	0	0	0
20	0.600124601	0.600124601	391	7	8
30	0.599618057	0.599618057	391	7	8
40	0.599648171	0.599648171	391	7	8
50	0.600349283	0.600349283	424	8	10
60	0.599904461	0.599904461	424	8	10
