Temp	Vout	Delta	Index	Mean	Slope
-40	0.59965439	0.0003456100	278	6	1
-30	0.599503256	0.0004967440	429	13	10
-20	0.600885199	0.0008851990	429	13	10
-10	0.599866704	0.0001332960	345	9	5
0	0.600027596	0.0000275960	328	8	4
10	0.599549939	0.0004500610	462	14	12
20	0.599922094	0.0000779060	378	10	7
30	0.600387374	0.0003873740	462	14	12
40	0.600211635	0.0002116350	462	14	12
50	0.600230153	0.0002301530	462	14	12
60	0.600022121	0.0000221210	462	14	12
