Temp	Vout	Delta	Index	Mean	Slope
-40	0.599491978	0.0005080220	359	7	6
-30	0.599466094	0.0005339060	359	7	6
-20	0.600613723	0.0006137230	475	11	13
-10	0.599171789	0.0008282110	475	11	13
0	0.600162424	0.0001624240	508	12	15
10	0.599910223	0.0000897770	508	12	15
20	0.599779249	0.0002207510	442	10	11
30	0.600219536	0.0002195360	274	2	1
40	0.59978783	0.0002121700	459	11	12
50	0.600159599	0.0001595990	492	12	14
60	0.598955595	0.0010444050	492	12	14
