Temp	Vout	Delta	Index	Mean	Slope
-40	0.600846085	0.0008460850	443	11	11
-30	0.599991678	0.0000083220	343	7	5
-20	0.600880065	0.0008800650	343	7	5
-10	0.60047324	0.0004732400	376	8	7
0	0.600214704	0.0002147040	509	13	15
10	0.59980698	0.0001930200	326	6	4
20	0.600318247	0.0003182470	376	8	7
30	0.601046511	0.0010465110	493	13	14
40	0.600028236	0.0000282360	493	13	14
50	0.59907821	0.0009217900	493	13	14
60	0.599700784	0.0002992160	460	12	12
