Temp	Vout	Delta	Index	Mean	Slope
-40	0.60080514	0.0008051400	307	3	3
-30	0.598774566	0.0012254340	290	2	2
-20	0.599394807	0.0006051930	407	7	9
-10	0.600201222	0.0002012220	407	7	9
0	0.599332204	0.0006677960	473	9	13
10	0.600501143	0.0005011430	340	4	5
20	0.599995473	0.0000045270	506	10	15
30	0.600007319	0.0000073190	306	2	3
40	0.601253367	0.0012533670	272	0	1
50	0.600219284	0.0002192840	289	1	2
60	0.598969052	0.0010309480	323	3	4
