Temp	Vout	Delta	Index	Mean	Slope
-40	0.600009914	0.0000099140	377	9	7
-30	0.599977038	0.0000229620	460	12	12
-20	0.599410059	0.0005899410	460	12	12
-10	0.600098912	0.0000989120	394	10	8
0	0.600345661	0.0003456610	394	10	8
10	0.600016447	0.0000164470	327	7	4
20	0.599819014	0.0001809860	394	10	8
30	0.600100841	0.0001008410	394	10	8
40	0.599642643	0.0003573570	394	10	8
50	0.599984042	0.0000159580	394	10	8
60	0.600455707	0.0004557070	461	13	12
