Temp	Vout	Delta	Index	Mean	Slope
-40	0.600711168	0.0007111680	423	7	10
-30	0.599753324	0.0002466760	390	6	8
-20	0.600070259	0.0000702590	390	6	8
-10	0.600031424	0.0000314240	456	8	12
0	0.599081552	0.0009184480	306	2	3
10	0.600360939	0.0003609390	306	2	3
20	0.59997407	0.0000259300	373	5	7
30	0.600667621	0.0006676210	272	0	1
40	0.600203337	0.0002033370	473	9	13
50	0.59947948	0.0005205200	323	3	4
60	0.60026681	0.0002668100	373	5	7
