Temp	Vout	Delta	Index	Mean	Slope
-40	0.600628488	0.0006284880	291	3	2
-30	0.600390888	0.0003908880	358	6	6
-20	0.599813091	0.0001869090	358	6	6
-10	0.60004514	0.0000451400	358	6	6
0	0.599780335	0.0002196650	458	10	12
10	0.599254096	0.0007459040	358	6	6
20	0.600225918	0.0002259180	425	9	10
30	0.600475281	0.0004752810	475	11	13
40	0.600635576	0.0006355760	508	12	15
50	0.599788894	0.0002111060	508	12	15
60	0.599899332	0.0001006680	0	0	0
