Temp	Vout	Delta	Index	Mean	Slope
-40	0.599230172	0.599230172	358	6	6
-30	0.598977265	0.598977265	274	2	1
-20	0.599767569	0.599767569	474	10	13
-10	0.599985831	0.599985831	408	8	9
0	0.599824763	0.599824763	257	1	0
10	0.59956105	0.59956105	458	10	12
20	0.600793653	0.600793653	425	9	10
30	0.599769816	0.599769816	425	9	10
40	0.599853187	0.599853187	475	11	13
50	0.600567228	0.600567228	508	12	15
60	0.599142033	0.599142033	508	12	15
