Temp	Vout	Delta	Index	Mean	Slope
-40	0.600629756	0.0006297560	291	3	2
-30	0.599573789	0.0004262110	257	1	0
-20	0.599667528	0.0003324720	424	8	10
-10	0.601065855	0.0010658550	341	5	5
0	0.599579927	0.0004200730	474	10	13
10	0.60050204	0.0005020400	441	9	11
20	0.600473703	0.0004737030	441	9	11
30	0.599841248	0.0001587520	307	3	3
40	0.59991956	0.0000804400	290	2	2
50	0.600039574	0.0000395740	458	10	12
60	0.600300648	0.0003006480	458	10	12
