Temp	Vout	Delta	Index	Mean	Slope
-40	0.598957236	0.598957236	276	4	1
-30	0.600106505	0.600106505	476	12	13
-20	0.600344443	0.600344443	410	10	9
-10	0.600314368	0.600314368	360	8	6
0	0.600334566	0.600334566	460	12	12
10	0.600451769	0.600451769	427	11	10
20	0.599823004	0.599823004	427	11	10
30	0.600661843	0.600661843	510	14	15
40	0.599986173	0.599986173	477	13	13
50	0.600037985	0.600037985	275	3	1
60	0.600911544	0.600911544	494	14	14
