Temp	Vout	Delta	Index	Mean	Slope
-40	0.599491978	0.599491978	359	7	6
-30	0.599466094	0.599466094	359	7	6
-20	0.600613723	0.600613723	475	11	13
-10	0.599171789	0.599171789	475	11	13
0	0.600162424	0.600162424	508	12	15
10	0.599910223	0.599910223	508	12	15
20	0.599779249	0.599779249	442	10	11
30	0.600219536	0.600219536	274	2	1
40	0.59978783	0.59978783	459	11	12
50	0.600159599	0.600159599	492	12	14
60	0.598955595	0.598955595	492	12	14
