Temp	Vout	Delta	Index	Mean	Slope
-40	0.59965439	0.59965439	278	6	1
-30	0.599503256	0.599503256	429	13	10
-20	0.600885199	0.600885199	429	13	10
-10	0.599866704	0.599866704	345	9	5
0	0.600027596	0.600027596	328	8	4
10	0.599549939	0.599549939	462	14	12
20	0.599922094	0.599922094	378	10	7
30	0.600387374	0.600387374	462	14	12
40	0.600211635	0.600211635	462	14	12
50	0.600230153	0.600230153	462	14	12
60	0.600022121	0.600022121	462	14	12
