T	TTT	FFH	FSH	SFH	SSH	FFL	FSL	SFL	SSL
-40	0.598049526466978	0.542891022049628	0.569906389448033	0.665917833514626	0.676588619676676	0.514198422476989	0.542261800564074	0.639946784885121	0.650879542001269
-39.5	0.598020916624709	0.5429016095263	0.569867130310072	0.665931770674566	0.676604192843266	0.514178734857532	0.542194115679389	0.639908912826729	0.650841089257135
-39	0.597992606092041	0.542912479432653	0.569828294221014	0.66594591212543	0.676620003965642	0.514159207781545	0.542126710947521	0.639871171037423	0.650802814193951
-38.5	0.597964594224978	0.542923631159368	0.569789878834932	0.665960259410867	0.676636053998742	0.514139840679871	0.542059583823891	0.639833560841517	0.650764717289276
-38	0.597936880140408	0.542935064143718	0.569751881173596	0.66597481408977	0.676652343909504	0.514120633105433	0.541992731224144	0.639796083625332	0.650726799070817
-37.5	0.597909462974207	0.54294677783004	0.569714298289105	0.665989577709182	0.676668874669327	0.514101584594594	0.541926150186388	0.639758740760509	0.650689060071247
-37	0.597882341879594	0.542958771712106	0.56967712735175	0.666004551803692	0.67668564725406	0.51408269473206	0.541859837770545	0.639721533604518	0.650651500827775
-36.5	0.597855516029261	0.542971045276415	0.569640365614136	0.666019737896407	0.67670266264349	0.514063963122799	0.541793791183451	0.639684463500365	0.65061412188191
-36	0.597828984610896	0.542983598058448	0.569604010390104	0.666035137497504	0.676719921821191	0.514045389355926	0.541728007669813	0.639647531776781	0.650576923778721
-35.5	0.597802746833117	0.542996429600285	0.569568059100143	0.66605075210542	0.676737425773794	0.514026973095115	0.541662484582423	0.639610739748282	0.650539907066877
-35	0.597776801918873	0.543009539451033	0.569532509230013	0.666066583205974	0.676755175491157	0.514008713979274	0.541597219345508	0.639574088714737	0.650503072298129
-34.5	0.597751149109977	0.543022927207849	0.569497358330244	0.66608263227289	0.676773171965813	0.51399061168543	0.541532209462409	0.639537579962269	0.650466420026997
-34	0.597725787664651	0.543036592474501	0.569462604053592	0.666098900767415	0.676791416192316	0.513972665936871	0.541467452514601	0.639501214762265	0.650429950810368
-33.5	0.597700716857122	0.543050534861858	0.569428244102357	0.666115390138455	0.676809909167564	0.513954876424265	0.541402946152022	0.639464994372482	0.65039366520754
-33	0.597675935979073	0.543064754021354	0.569394276278231	0.666132101822641	0.676828651890208	0.513937242876194	0.541338688125754	0.639428920035949	0.650357563779548
-32.5	0.597651444339038	0.543079249624434	0.569360698443089	0.666149037243983	0.67684764536015	0.513919765083939	0.54127467622817	0.639392992982083	0.650321647088917
-32	0.597627241259562	0.543094021349565	0.569327508524329	0.666166197814356	0.676866890578945	0.513902442798427	0.54121090835052	0.639357214425956	0.650285915699846
-31.5	0.597603326081239	0.543109068901823	0.569294704520341	0.66618358493305	0.676886388548796	0.513885275824857	0.541147382448424	0.639321585568991	0.650250370177344
-31	0.597579698159382	0.543124392012946	0.569262284523611	0.666201199986972	0.676906140272804	0.513868263971161	0.54108409654124	0.639286107598393	0.650215011087331
-30.5	0.597556356865527	0.543139990408816	0.569230246658458	0.666219044350786	0.676926146754501	0.51385140708203	0.541021048735346	0.639250781687853	0.650179838996708
-30	0.597533301585889	0.54315586388667	0.569198589147253	0.6662371193866	0.676946408997818	0.513834705021434	0.540958237206507	0.639215608997209	0.650144854472199
-29.5	0.597510531723155	0.543172012205842	0.569167310254942	0.666255426444175	0.676966928006594	0.513818157640367	0.540895660175917	0.639180590672472	0.650110058081305
-29	0.597488046693968	0.543188435171396	0.569136408335753	0.666273966861109	0.676987704784666	0.513801764858863	0.540833315948537	0.639145727846382	0.650075450391235
-28.5	0.597465845929969	0.543205132620633	0.569105881796602	0.66629274196237	0.677008740335563	0.513785526575739	0.540771202911694	0.639111021638089	0.650041031969266
-28	0.597443928879217	0.543222104397981	0.569075729096488	0.666311753061116	0.677030035662168	0.513769442725916	0.540709319488189	0.63907647315323	0.650006803382242
-27.5	0.597422295002475	0.543239350355226	0.569045948774697	0.666331001457567	0.677051591766658	0.513753513279904	0.540647664181337	0.639042083484436	0.649972765196398
-27	0.597400943776243	0.543256870388704	0.569016539432093	0.666350488440365	0.677073409650564	0.513737738196173	0.540586235573924	0.639007853710802	0.649938917977594
-26.5	0.597379874690723	0.543274664395976	0.568987499713385	0.666370215285429	0.677095490313964	0.513722117468972	0.540525032282222	0.638973784898768	0.649905262290593
-26	0.597359087250928	0.543292732300538	0.568958828346027	0.66639018325693	0.677117834756436	0.513706651127727	0.540464053000345	0.638939878101512	0.649871798699475
-25.5	0.597338580974851	0.543311074043325	0.568930524099639	0.666410393606735	0.677140443975342	0.513691339190715	0.540403296498844	0.638906134359388	0.649838527767112
