TP	R0	R2
1	6	5
2	7	7
3	9	7
4	6	6
5	14	7
6	10	7
7	8	7
8	7	7
9	7	7
10	5	5
11	7	7
12	8	7
13	8	7
14	15	7
15	7	5
16	9	7
