TP	R0	R2
1	7	10
2	7	7
3	7	3
4	7	9
5	7	7
6	7	3
7	7	7
8	7	3
9	7	3
10	7	9
11	7	7
12	7	7
13	7	7
14	7	7
15	7	7
16	7	7
