TP,slope,intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32)
1,0.0131784541666668,0.476025631333333,2.67885939883946,0.490206883,0.491942734,0.493369712
2,0.00953797499999993,0.512554523333333,1.81868838206878,0.522634328,0.52444251,0.524923442
3,-0.00933456249999971,0.548170733333333,1.73728775532241,0.537920714,0.537306642,0.535680419
4,-0.0148454916666673,0.533174108666667,2.87958684840304,0.517049528,0.515542418,0.51348661
5,0.00625430000000003,0.480534393333333,1.28039021834201,0.487074677,0.488468274,0.488575709
6,0.0198979500000003,0.493370082333333,3.8405106461402,0.514430238,0.518106883,0.519205746
7,0.0126501000000002,0.486119876666666,2.51990372553842,0.499428346,0.502007274,0.50246437
8,-0.0178547416666663,0.56004075,3.31373318252209,0.540659919,0.53881048,0.536374781
9,-0.00718554166666603,0.545047820333333,1.33865998244352,0.537114405,0.536771231,0.535389875
10,0.00629380416666703,0.507592754666666,1.2208548149558,0.514200535,0.515524376,0.515711048
11,0.00986036249999998,0.515996672333333,1.86575272641399,0.526314187,0.528492461,0.528680674
12,0.00357743333333337,0.505647413666667,1.08538348587177,0.509210833,0.510540751,0.510069417
13,0.00169987499999967,0.509763850666667,0.564204049347676,0.511436554,0.512130024,0.511844524
14,0.0383430541666663,0.435031007333334,7.96097417060808,0.476143984,0.481637716,0.485346317
15,0.0294768000000002,0.453599208666666,6.02429169814641,0.485270329,0.489299016,0.492344761
16,0.0441449500000003,0.437531571,8.9875120795852,0.484870382,0.491180981,0.49546517
