TP,slope (linfit),intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32),slope,mean
1,0.1060491875,0.487949800333333,17.0941306128313,0.599895522,0.620383627,0.625347327,7,10
2,0.0813943999999997,0.509138942666667,13.3343320026261,0.595244866,0.61041228,0.614779522,8,8
3,0.0092848416666666,0.558498462333333,2.02376951578197,0.567973439,0.570745577,0.570201801,9,5
4,0.120881820833333,0.479850974333333,19.0692219245275,0.605902616,0.633910609,0.634914253,7,9
5,-0.0077577833333331,0.47453236,1.66807401889626,0.466228321,0.465074286,0.464366453,15,4
6,0.070467683333333,0.517273421666667,11.6378414457427,0.591543463,0.605504755,0.608455707,11,10
7,0.0465752333333331,0.531303833333334,7.90876201254839,0.580748767,0.58890675,0.591926823,9,9
8,0.104318729166666,0.495406926,16.6075911120417,0.604296437,0.628138834,0.629332932,8,8
9,0.104157075,0.494254064,16.6376385286033,0.60334858,0.626032804,0.628346278,8,8
10,0.132324458333334,0.466715598999999,20.8809008948832,0.605523246,0.633710485,0.637281116,7,9
11,0.127474300000001,0.469418617333333,20.2521428910462,0.603566696,0.629436108,0.634160528,8,9
12,0.109273270833332,0.486010879000001,17.5343391912603,0.600997498,0.623195831,0.627223083,9,11
13,0.0778770041666674,0.512133388666666,12.7758330903759,0.594250961,0.609564978,0.612941442,8,9
14,0.0822577625000005,0.494948539666666,13.8055746073621,0.582700824,0.595830053,0.602442687,14,15
15,0.139311991666667,0.45303354,22.2557536278128,0.600614734,0.625959444,0.634049612,8,12
16,0.0393450250000002,0.412861726666667,8.54244881570711,0.455100978,0.460582508,0.464543784,10,1
