TP,slope,intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32)
1,0.0199857874999999,0.465910269666667,4.07646442233764,0.487305235,0.490272585,0.492101824
2,0.0115241541666668,0.507198117333333,2.21060412433338,0.519501538,0.521312434,0.522267335
3,-0.00628438749999987,0.540690734,1.2525637682369,0.53362016,0.53371634,0.532111907
4,-0.0170681208333331,0.534778402,3.31661313947194,0.516180653,0.514625014,0.512084304
5,0.00905120833333352,0.471664736,1.87479537855855,0.481311235,0.482783798,0.483483525
6,0.0269352958333336,0.480616372666666,5.2426696688989,0.509290552,0.513770608,0.515755023
7,0.0108847250000003,0.485254812333333,2.18106570925515,0.496640884,0.499055345,0.499253218
8,-0.0129530500000003,0.552006010666667,2.41203069564526,0.537738664,0.537018456,0.534629932
9,-0.00287119583333325,0.537707116,1.08353623252318,0.534257354,0.534959422,0.533568267
10,0.0088093833333334,0.503883069333333,1.71144433833786,0.513257443,0.51473385,0.515371695
11,0.0172576208333337,0.505520128666666,3.27306078899179,0.523641766,0.52726246,0.527783595
12,0.00877771666666692,0.496526185333333,1.72934320275235,0.505748258,0.507575168,0.50785491
13,0.00502001249999996,0.50263988,0.986404859749226,0.507933396,0.50892009,0.509138199
14,0.0515969583333331,0.412633967333334,10.8553881362938,0.46797786,0.475311962,0.48036113
15,0.0339804791666671,0.445921382999999,6.97555686368553,0.482401061,0.487136437,0.490556376
16,0.0544541499999998,0.422135164666667,11.1554464716387,0.480615927,0.488139584,0.493684923
