TP,slope,intersection,LR [%/V],Vout (1.08),Vout (1.2),Vout (1.32)
1,0.0446059583333324,0.521164578333335,7.74149797093596,0.568588449,0.576192857,0.579293879
2,0.0800706124999998,0.511603763,13.0905070159488,0.596089624,0.611669299,0.615306571
3,0.096929416666667,0.503024875,15.47811712758,0.604261136,0.626235193,0.627524196
4,0.0369906958333332,0.553738112,6.50877910096669,0.592036026,0.601431022,0.600913793
5,0.0348446166666673,0.527072136333332,6.10651447355922,0.563840241,0.570613839,0.572202949
6,0.0757042249999997,0.510446196666667,12.5126259316011,0.590341052,0.605022682,0.608510066
7,0.0414525666666664,0.534653306333334,7.06500524462205,0.578254837,0.586730869,0.588203453
8,0.0987273249999995,0.501550374666667,15.7298155514201,0.604365209,0.627644518,0.628059767
9,0.1000327125,0.498879494333333,15.9841820138976,0.60346262,0.625823157,0.627470471
10,0.0551680458333342,0.532912304999999,9.16537481723045,0.591091747,0.601918055,0.604332078
11,0.0850766083333327,0.509239644000001,13.8039962100473,0.598628824,0.616318688,0.61904721
12,0.0519774499999994,0.530106772333334,8.73053618705709,0.584806113,0.595352323,0.597280701
13,0.0517327291666665,0.531922408333334,8.66820739597058,0.586389594,0.596810007,0.598805449
14,0.0633187708333333,0.48638766,11.228503892925,0.554001515,0.56391102,0.56919802
15,0.0596520458333333,0.499089434333333,10.4241120678164,0.562724279,0.572250619,0.57704077
16,0.0721999374999996,0.486662471666667,12.5543385759862,0.563739856,0.575099493,0.581067841
